Constituency Name,1999,1998,1997,1996,1995,1994,1993,1992
Grand River North West and Port Louis West,"35,425","34,642","34,880","33,761","32,296","32,069","31,933","31,255"
Port Louis South and Port Louis Central,"23,958","24,736","24,772","24,691","24,741","25,119","26,149","26,180"
Port Louis Maritime and Port Louis East,"18,774","19,291","19,421","19,521","19,524","19,999","20,462","20,642"
Port Louis North and Montagne Longue,"42,072","41,004","41,067","39,875","39,151","38,204","38,340","37,769"
Pamplemousses and Triolet,"44,821","43,052","43,167","41,277","41,365","40,170","39,798","38,883"
Grand Baie and Poudre D'Or,"40,981","39,148","39,376","37,665","37,768","36,836","36,460","35,826"
Piton and Riviere du Rempart,"35,249","33,967","34,093","32,824","32,909","32,192","32,001","31,596"
Quartier Militaire and Moka,"35,596","34,564","34,684","33,665","33,655","32,934","32,781","32,384"
Flacq and Bon Accueil,"43,499","41,598","41,529","39,937","40,027","39,059","38,749","37,902"
Montagne Blanche and Grand River South East,"40,310","38,815","39,004","37,652","37,720","36,927","36,530","35,929"
Vieux Grand Port and Rose Belle,"33,607","32,617","32,655","31,459","31,509","30,915","30,566","30,082"
Mahebourg and Plaine Magnien,"32,099","30,997","31,157","30,232","30,393","29,774","29,529","29,196"
Riviere des Anguilles and Souillac,"26,699","29,005","29,087","27,951","28,111","27,561","27,359","27,033"
Savanne and Black River,"48,111","45,943","46,121","44,233","43,819","42,662","42,217","41,451"
La Caverne and Phoenix,"46,367","44,972","45,078","44,294","43,298","42,523","42,483","42,245"
Vacoas and Floreal,"39,971","39,540","39,690","39,022","38,451","38,028","38,017","37,726"
Curepipe and Midlands,"37,418","36,292","36,545","35,668","35,271","34,840","34,939","34,355"
Belle Rose and Quatre Bornes,"38,502","38,457","38,623","38,064","37,643","37,305","37,931","37,549"
Stanley and Rose Hill,"35,047","35,003","35,112","34,635","33,246","31,766","31,410","31,230"
Beau Bassin and Petitie Riviere,"37,561","36,515","36,580","35,735","35,782","35,429","35,598","35,413"
Rodrigues,"20,186","19,581","19,474","18,575","18,500","18,154","18,302","18,205"
,0,0,0,0,0,0,0,0
