Constituency Name,2015,2014,2013,2012,2011,2010,2009,2008
Grand River North West and Port Louis West,"41,905","42,456","41,107","41,326","41,524","40,241","40,572","39,714"
Port Louis South and Port Louis Central,"25,081","25,470","24,860","24,960","25,044","24,463","24,642","24,300"
Port Louis Maritime and Port Louis East,"22,771","23,112","22,682","22,834","22,960","22,428","22,488","22,344"
Port Louis North and Montagne Longue,"49,217","49,865","47,775","47,779","47,989","45,986","46,179","45,192"
Pamplemousses and Triolet,"61,347","62,092","58,651","58,749","58,948","56,429","56,620","55,189"
Grand Baie and Poudre D'Or,"51,743","52,351","49,824","49,817","49,998","48,115","48,379","47,426"
Piton and Riviere du Rempart,"42,581","43,079","41,369","41,478","41,633","40,379","40,624","40,114"
Quartier Militaire and Moka,"43,775","44,314","42,383","42,438","42,597","41,223","41,342","40,592"
Flacq and Bon Accueil,"54,146","54,724","52,331","52,483","52,622","50,612","50,883","49,658"
Montagne Blanche and Grand River South East,"50,358","50,936","48,458","48,567","48,756","47,073","47,296","46,474"
Vieux Grand Port and Rose Belle,"42,120","42,590","40,743","40,777","40,904","39,360","39,432","38,711"
Mahebourg and Plaine Magnien,"37,934","38,363","37,006","37,116","37,248","36,136","36,242","35,867"
Riviere des Anguilles and Souillac,"34,755","35,151","33,824","33,975","34,096","33,081","33,169","32,698"
Savanne and Black River,"61,744","62,524","59,754","60,002","60,230","57,960","58,341","56,911"
La Caverne and Phoenix,"56,437","57,104","54,896","54,934","55,157","53,394","53,548","52,573"
Vacoas and Floreal,"45,855","46,479","45,094","45,258","45,464","43,816","44,053","43,231"
Curepipe and Midlands,"47,239","47,899","46,116","46,305","46,500","45,085","45,346","44,504"
Belle Rose and Quatre Bornes,"43,790","44,357","43,038","43,218","43,366","42,072","42,173","41,301"
Stanley and Rose Hill,"39,934","40,507","39,448","39,667","39,870","38,748","38,982","38,361"
Beau Bassin and Petitie Riviere,"44,236","44,817","43,490","43,673","43,855","42,375","42,656","41,641"
Rodrigues,"28,414","28,785","27,817","27,649","27,776","26,823","26,930","26,443"
